Phage_cluster_3168	putative phage tail protein
Phage_cluster_2911	Major capsid protein precursor
Phage_cluster_3004	tail component
Phage_cluster_3016	putative terminase large subunit
Phage_cluster_3196	virion structural protein
Phage_cluster_3179	tail sheath
Phage_cluster_3003	major tail protein
Phage_cluster_3187	putative tail protein
Phage_cluster_3191	putative virion structural protein 21
Phage_cluster_3198	putative virion structural protein
Phage_cluster_3181	portal
Phage_cluster_2966	sheat tail protein
Phage_cluster_3009	orf11
Phage_cluster_3192	putative virion structural protein
Phage_cluster_2991	phage major tail protein
Phage_cluster_3043	portal protein
Phage_cluster_2965	putative capsid protein
Phage_cluster_3154	putative major tail protein
Phage_cluster_3086	phage capsid protein
Phage_cluster_3226	minor spike protein
Phage_cluster_2922	putative portal protein
Phage_cluster_3507	major capsid protein
Phage_cluster_3433	putative phage sheath tail protein
Phage_cluster_3392	phage terminase, large subunit
Phage_cluster_4206	putative minor capsid protein
Phage_cluster_3931	phi13 family phage major tail protein
Phage_cluster_3386	tail component protein
Phage_cluster_3449	possible phage tail protein
Phage_cluster_3874	virion structural protein
Phage_cluster_3476	phage capsid protein
Phage_cluster_3744	phage structural protein
Phage_cluster_3789	virion structural protein
Phage_cluster_3442	putative tail protein
Phage_cluster_3364	putative portal protein
Phage_cluster_3805	minor capsid protein
Phage_cluster_3862	tail tube
Phage_cluster_3363	putative portal protein
Phage_cluster_3732	baseplate hub subunit
Phage_cluster_3619	virion structural protein
Phage_cluster_3654	baseplate tail tube cap
Phage_cluster_3946	putative capsid protein
Phage_cluster_3444	putative major capsid protein
Phage_cluster_3617	tail component protein
Phage_cluster_3376	putative tail protein
Phage_cluster_3367	putative phage tail protein
Phage_cluster_3393	minor capsid protein
Phage_cluster_3947	minor capsid protein
Phage_cluster_4254	putative virion structural protein
Phage_cluster_3473	putative terminase large subunit
Phage_cluster_3751	major capsid protein
Phage_cluster_3686	major tail protein
Phage_cluster_3870	putative minor coat protein
Phage_cluster_4253	virion structural protein
Phage_cluster_3876	virion structural protein
Phage_cluster_3623	tail protein
Phage_cluster_3743	phage structural protein
Phage_cluster_3861	tail tube
Phage_cluster_3878	putative encapsidation protein
Phage_cluster_3375	putative tail protein
Phage_cluster_3882	major capsid protein
Phage_cluster_3749	phage structural protein
Phage_cluster_3772	major capsid protein
Phage_cluster_4891	phage tail protein
Phage_cluster_4557	virion structural protein
Phage_cluster_4846	putative major tail protein
Phage_cluster_4779	virion structural protein
Phage_cluster_4768	putative major capsid protein
Phage_cluster_4423	putative tail protein
Phage_cluster_4370	putative major tail protein
Phage_cluster_4559	virion structural protein
Phage_cluster_4712	virion structural protein
Phage_cluster_4362	tail protein
Phage_cluster_4396	major capsid protein
Phage_cluster_4662	phage structural protein
Phage_cluster_4781	virion structural protein
Phage_cluster_4630	putative phage terminase B protein
Phage_cluster_4290	putative terminase large subunit
Phage_cluster_4525	terminase large subunit
Phage_cluster_4696	putative major capsid protein
Phage_cluster_4783	putative virion structural protein
Phage_cluster_4444	putative minor capsid protein 2
Phage_cluster_4358	minor capsid protein
Phage_cluster_5050	virion structural protein
Phage_cluster_4738	putative major capsid protein
Phage_cluster_4276	MuV-like tail protein
Phage_cluster_4778	virion structural protein
Phage_cluster_4724	capsid protein
Phage_cluster_4715	mature G III capsid protein
Phage_cluster_4271	Tail tube protein
Phage_cluster_4693	putative tail sheath
Phage_cluster_4910	putative phage tail component
Phage_cluster_4845	putative major capsid protein
Phage_cluster_4907	major capsid protein
Phage_cluster_4663	phage structural protein
Phage_cluster_4919	virion structural protein
Phage_cluster_4275	putative tail protein
Phage_cluster_4301	putative tail protein
Phage_cluster_4775	virion structural protein
Phage_cluster_4291	terminase large subunit
Phage_cluster_4555	putative tail component protein
Phage_cluster_5282	putative virion structural protein
Phage_cluster_4804	putative major tail protein
Phage_cluster_4428	portal protein
Phage_cluster_5789	gp11 baseplate wedge subunit and tail pin
Phage_cluster_6274	coat protein
Phage_cluster_6094	putative virion structural protein
Phage_cluster_6658	virion structural protein
Phage_cluster_5951	virion structural protein
Phage_cluster_6404	putative minor capsid protein
Phage_cluster_5425	large subunit terminase
Phage_cluster_5738	virion structural protein
Phage_cluster_5816	minor capsid protein
Phage_cluster_6406	putative virion structural protein
Phage_cluster_5442	major capsid protein
Phage_cluster_6269	putative tail protein
Phage_cluster_6073	major capsid protein
Phage_cluster_5318	putative major capsid
Phage_cluster_6163	putative major capsid protein
Phage_cluster_5480	putative tail protein
Phage_cluster_5791	neck whiskers protein
Phage_cluster_5579	putative major capsid protein
Phage_cluster_5521	putative tail component
Phage_cluster_5426	portal protein
Phage_cluster_5756	putative minor coat protein
Phage_cluster_5545	virion structural protein
Phage_cluster_5851	minor capsid protein
Phage_cluster_5311	tail tube
Phage_cluster_5309	portal protein
Phage_cluster_6387	capsid protein
